Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): avgA2C
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): avg dist to obstacles and goals instead of closest also using A2C which has shown promising results
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): A2C
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
Episode:14 Score:100002.25 Successful:True Number of Steps:11
Episode:15 Score:100004.25 Successful:True Number of Steps:15
Episode:16 Score:100002.25 Successful:True Number of Steps:11
Episode:17 Score:100002.25 Successful:True Number of Steps:11
Episode:18 Score:100002.25 Successful:True Number of Steps:11
Episode:19 Score:100002.25 Successful:True Number of Steps:11
Episode:20 Score:99998.25 Successful:True Number of Steps:12
Episode:21 Score:99999.25 Successful:True Number of Steps:12
Episode:22 Score:100002.25 Successful:True Number of Steps:11
Episode:23 Score:100002.75 Successful:True Number of Steps:13
Episode:24 Score:100002.75 Successful:True Number of Steps:13
Episode:25 Score:100002.25 Successful:True Number of Steps:11
Episode:26 Score:100002.75 Successful:True Number of Steps:13
Episode:27 Score:100002.25 Successful:True Number of Steps:11
Episode:28 Score:100002.25 Successful:True Number of Steps:11
Episode:29 Score:100002.25 Successful:True Number of Steps:11
Episode:30 Score:100002.25 Successful:True Number of Steps:11
number successful: 30
RESULTS FOR STARTING POSITION: (1,18)
Episode:1 Score:100000.5 Successful:True Number of Steps:8
Episode:2 Score:100000.5 Successful:True Number of Steps:8
Episode:3 Score:100000.25 Successful:True Number of Steps:10
Episode:4 Score:99900.5 Successful:True Number of Steps:9
Episode:5 Score:100000.5 Successful:True Number of Steps:8
Episode:6 Score:99998.0 Successful:True Number of Steps:17
Episode:7 Score:99897.5 Successful:True Number of Steps:10
Episode:8 Score:100000.5 Successful:True Number of Steps:8
Episode:9 Score:100000.5 Successful:True Number of Steps:8
Episode:10 Score:100000.5 Successful:True Number of Steps:8
Episode:11 Score:100000.5 Successful:True Number of Steps:8
Episode:12 Score:100000.5 Successful:True Number of Steps:8
Episode:13 Score:100000.5 Successful:True Number of Steps:8
