Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): testingLargerRadiusPPO
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): radius is larger so less sparse and want to see if A2C works better than PPO
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): PPO
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
Episode:14 Score:99967.25 Successful:True Number of Steps:40
Episode:15 Score:99962.0 Successful:True Number of Steps:37
Episode:16 Score:99927.75 Successful:True Number of Steps:40
Episode:17 Score:97997.0 Successful:True Number of Steps:228
Episode:18 Score:93871.75 Successful:True Number of Steps:326
Episode:19 Score:97963.25 Successful:True Number of Steps:402
Episode:20 Score:99885.0 Successful:True Number of Steps:133
Episode:21 Score:98730.25 Successful:True Number of Steps:198
Episode:22 Score:99904.25 Successful:True Number of Steps:82
Episode:23 Score:99973.0 Successful:True Number of Steps:23
Episode:24 Score:99350.25 Successful:True Number of Steps:256
Episode:25 Score:99962.0 Successful:True Number of Steps:23
Episode:26 Score:99784.25 Successful:True Number of Steps:102
Episode:27 Score:99965.25 Successful:True Number of Steps:33
Episode:28 Score:99955.5 Successful:True Number of Steps:61
Episode:29 Score:99991.0 Successful:True Number of Steps:17
Episode:30 Score:99932.5 Successful:True Number of Steps:71
number successful: 30
RESULTS FOR STARTING POSITION: (12,15)
Episode:1 Score:99848.0 Successful:True Number of Steps:128
Episode:2 Score:99769.5 Successful:True Number of Steps:193
Episode:3 Score:99739.5 Successful:True Number of Steps:190
Episode:4 Score:99778.75 Successful:True Number of Steps:151
Episode:5 Score:-4724.0 Successful:False Number of Steps:500
Episode:6 Score:99778.75 Successful:True Number of Steps:191
Episode:7 Score:99804.75 Successful:True Number of Steps:167
Episode:8 Score:99933.25 Successful:True Number of Steps:49
Episode:9 Score:-2848.75 Successful:False Number of Steps:500
Episode:10 Score:99598.75 Successful:True Number of Steps:290
Episode:11 Score:98991.75 Successful:True Number of Steps:149
Episode:12 Score:99885.75 Successful:True Number of Steps:96
