Episode:27 Score:100000 Successful:True Number of Steps:3
Episode:28 Score:100000 Successful:True Number of Steps:3
Episode:29 Score:100000 Successful:True Number of Steps:5
Episode:30 Score:100000 Successful:True Number of Steps:3
number successful: 30
RESULTS FOR STARTING POSITION: (23,19)
Episode:1 Score:99907.5 Successful:True Number of Steps:120
Episode:2 Score:99935.75 Successful:True Number of Steps:87
Episode:3 Score:99991.75 Successful:True Number of Steps:19
Episode:4 Score:99957.25 Successful:True Number of Steps:65
Episode:5 Score:99970.75 Successful:True Number of Steps:45
Episode:6 Score:99912.75 Successful:True Number of Steps:107
Episode:7 Score:99948.25 Successful:True Number of Steps:72
Episode:8 Score:99961.75 Successful:True Number of Steps:61
Episode:9 Score:99933.0 Successful:True Number of Steps:89
Episode:10 Score:99919.25 Successful:True Number of Steps:106
Episode:11 Score:99988.25 Successful:True Number of Steps:25
Episode:12 Score:99940.25 Successful:True Number of Steps:81
Episode:13 Score:99976.75 Successful:True Number of Steps:37
Episode:14 Score:99849.25 Successful:True Number of Steps:200
Episode:15 Score:99949.75 Successful:True Number of Steps:74
Episode:16 Score:99906.25 Successful:True Number of Steps:116
Episode:17 Score:99849.25 Successful:True Number of Steps:198
Episode:18 Score:99940.75 Successful:True Number of Steps:82
Episode:19 Score:99913.75 Successful:True Number of Steps:112
Episode:20 Score:99934.75 Successful:True Number of Steps:88
Episode:21 Score:99940.5 Successful:True Number of Steps:76
Episode:22 Score:99984.75 Successful:True Number of Steps:21
Episode:23 Score:99967.75 Successful:True Number of Steps:46
Episode:24 Score:99844.5 Successful:True Number of Steps:204
Episode:25 Score:99949.0 Successful:True Number of Steps:79
Episode:26 Score:99925.75 Successful:True Number of Steps:93
Episode:27 Score:99949.75 Successful:True Number of Steps:67
Episode:28 Score:99961.0 Successful:True Number of Steps:56
Episode:29 Score:99932.5 Successful:True Number of Steps:89
Episode:30 Score:99987.25 Successful:True Number of Steps:20
number successful: 30
RESULTS FOR STARTING POSITION: (26,5)
Episode:1 Score:99997.75 Successful:True Number of Steps:13
Episode:2 Score:99996.0 Successful:True Number of Steps:10
Episode:3 Score:99999.0 Successful:True Number of Steps:9
Episode:4 Score:99999.0 Successful:True Number of Steps:9
Episode:5 Score:99996.0 Successful:True Number of Steps:12
Episode:6 Score:99998.0 Successful:True Number of Steps:11
Episode:7 Score:99999.0 Successful:True Number of Steps:13
Episode:8 Score:99999.0 Successful:True Number of Steps:9
Episode:9 Score:99999.0 Successful:True Number of Steps:9
Episode:10 Score:99999.0 Successful:True Number of Steps:9
Episode:11 Score:99999.0 Successful:True Number of Steps:9
Episode:12 Score:99999.0 Successful:True Number of Steps:9
Episode:13 Score:99999.0 Successful:True Number of Steps:9
Episode:14 Score:99998.75 Successful:True Number of Steps:9
Episode:15 Score:99999.0 Successful:True Number of Steps:9
Episode:16 Score:99999.0 Successful:True Number of Steps:9
Episode:17 Score:99999.0 Successful:True Number of Steps:9
Episode:18 Score:99999.0 Successful:True Number of Steps:9
Episode:19 Score:99993.75 Successful:True Number of Steps:14
Episode:20 Score:99999.0 Successful:True Number of Steps:9
Episode:21 Score:99899.0 Successful:True Number of Steps:10
Episode:22 Score:99995.5 Successful:True Number of Steps:14
Episode:23 Score:99999.0 Successful:True Number of Steps:9
Episode:24 Score:99898.75 Successful:True Number of Steps:12
Episode:25 Score:99998.0 Successful:True Number of Steps:13
Episode:26 Score:99999.0 Successful:True Number of Steps:9
Episode:27 Score:99999.0 Successful:True Number of Steps:9
Episode:28 Score:99999.0 Successful:True Number of Steps:9
Episode:29 Score:99999.0 Successful:True Number of Steps:9
Episode:30 Score:99999.0 Successful:True Number of Steps:9
number successful: 30
RESULTS FOR STARTING POSITION: (14,11)
Episode:1 Score:99995.0 Successful:True Number of Steps:15
Episode:2 Score:99990.0 Successful:True Number of Steps:20
Episode:3 Score:99993.5 Successful:True Number of Steps:21
Episode:4 Score:99985.5 Successful:True Number of Steps:18
Episode:5 Score:99995.0 Successful:True Number of Steps:15
Episode:6 Score:99995.0 Successful:True Number of Steps:15
Episode:7 Score:99992.0 Successful:True Number of Steps:19
Episode:8 Score:99994.5 Successful:True Number of Steps:17
Episode:9 Score:99994.5 Successful:True Number of Steps:17
Episode:10 Score:99979.5 Successful:True Number of Steps:22
Episode:11 Score:99994.0 Successful:True Number of Steps:19
Episode:12 Score:99995.0 Successful:True Number of Steps:15
Episode:13 Score:99995.0 Successful:True Number of Steps:15
Episode:14 Score:99994.0 Successful:True Number of Steps:17
Episode:15 Score:99995.0 Successful:True Number of Steps:15
Episode:16 Score:99994.0 Successful:True Number of Steps:21
Episode:17 Score:99994.75 Successful:True Number of Steps:17
Episode:18 Score:99993.5 Successful:True Number of Steps:17
Episode:19 Score:99995.0 Successful:True Number of Steps:15
Episode:20 Score:99989.5 Successful:True Number of Steps:22
Episode:21 Score:99995.0 Successful:True Number of Steps:19
Episode:22 Score:99994.5 Successful:True Number of Steps:17
Episode:23 Score:99994.5 Successful:True Number of Steps:17
Episode:24 Score:99992.0 Successful:True Number of Steps:16
Episode:25 Score:99992.5 Successful:True Number of Steps:21
Episode:26 Score:99994.75 Successful:True Number of Steps:15
Episode:27 Score:99995.0 Successful:True Number of Steps:15
Episode:28 Score:99994.0 Successful:True Number of Steps:19
Episode:29 Score:99992.0 Successful:True Number of Steps:16
Episode:30 Score:99993.25 Successful:True Number of Steps:19
number successful: 30
RESULTS FOR STARTING POSITION: (31,15)
Episode:1 Score:99989.5 Successful:True Number of Steps:19
Episode:2 Score:99986.5 Successful:True Number of Steps:23
Episode:3 Score:99989.5 Successful:True Number of Steps:19
Episode:4 Score:99988.0 Successful:True Number of Steps:21
Episode:5 Score:99989.5 Successful:True Number of Steps:19
Episode:6 Score:99985.25 Successful:True Number of Steps:23
Episode:7 Score:99989.5 Successful:True Number of Steps:19
Episode:8 Score:99989.5 Successful:True Number of Steps:19
Episode:9 Score:99989.5 Successful:True Number of Steps:19
