Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): s
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): s
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): s
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:5 Score:101675.74333017098 Successful:True Number of Steps:83
Episode:6 Score:102856.47399924533 Successful:True Number of Steps:142
Episode:7 Score:102328.62028191595 Successful:True Number of Steps:115
Episode:8 Score:100246.22635735762 Successful:True Number of Steps:13
Episode:9 Score:101676.65280785305 Successful:True Number of Steps:83
Episode:10 Score:100447.73162520552 Successful:True Number of Steps:24
Episode:11 Score:102613.39077106163 Successful:True Number of Steps:130
Episode:12 Score:100981.66717072434 Successful:True Number of Steps:49
Episode:13 Score:101269.51732987573 Successful:True Number of Steps:63
Episode:14 Score:100556.49928990963 Successful:True Number of Steps:30
Episode:15 Score:100633.03429477029 Successful:True Number of Steps:34
Episode:16 Score:104124.9832709231 Successful:True Number of Steps:205
Episode:17 Score:100441.53482296875 Successful:True Number of Steps:24
Episode:18 Score:102854.12856828656 Successful:True Number of Steps:144
Episode:19 Score:100123.30118770075 Successful:True Number of Steps:7
Episode:20 Score:104287.7918924995 Successful:True Number of Steps:213
Episode:21 Score:100694.63914955924 Successful:True Number of Steps:35
Episode:22 Score:100979.76117131677 Successful:True Number of Steps:49
Episode:23 Score:100205.15879707695 Successful:True Number of Steps:11
Episode:24 Score:100979.13371386718 Successful:True Number of Steps:49
Episode:25 Score:100246.22635735762 Successful:True Number of Steps:13
Episode:26 Score:100287.30941280434 Successful:True Number of Steps:15
Episode:27 Score:107635.02223189721 Successful:True Number of Steps:378
Episode:28 Score:100286.54087963181 Successful:True Number of Steps:15
Episode:29 Score:105475.28585402413 Successful:True Number of Steps:271
Episode:30 Score:102512.1628102968 Successful:True Number of Steps:128
number successful: 30
RESULTS FOR STARTING POSITION: (0,2)
Episode:1 Score:9159.971139230904 Successful:False Number of Steps:500
Episode:2 Score:107148.61698138775 Successful:True Number of Steps:433
Episode:3 Score:7881.349003799236 Successful:False Number of Steps:500
Episode:4 Score:8263.767278575591 Successful:False Number of Steps:500
Episode:5 Score:8835.220335996764 Successful:False Number of Steps:500
Episode:6 Score:7938.186172585784 Successful:False Number of Steps:500
