Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): df
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): sf
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): sadf
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:3 Score:-3374.0106766841973 Successful:False Number of Steps:500
Episode:4 Score:-2998.734876259223 Successful:False Number of Steps:500
Episode:5 Score:-3376.282070703645 Successful:False Number of Steps:500
Episode:6 Score:98092.08178287245 Successful:True Number of Steps:184
Episode:7 Score:-2957.5640192614246 Successful:False Number of Steps:500
Episode:8 Score:-3552.4746374758624 Successful:False Number of Steps:500
Episode:9 Score:97337.80867821164 Successful:True Number of Steps:330
Episode:10 Score:-3821.6198124282264 Successful:False Number of Steps:500
Episode:11 Score:-3521.7703013040064 Successful:False Number of Steps:500
Episode:12 Score:-3471.7337024357685 Successful:False Number of Steps:500
Episode:13 Score:-2570.365142022735 Successful:False Number of Steps:500
Episode:14 Score:-2997.073481715108 Successful:False Number of Steps:500
Episode:15 Score:-3409.167037721355 Successful:False Number of Steps:500
Episode:16 Score:-3216.532066397778 Successful:False Number of Steps:500
Episode:17 Score:-3831.260828090024 Successful:False Number of Steps:500
Episode:18 Score:-4158.38524247425 Successful:False Number of Steps:500
Episode:19 Score:-3427.217090473002 Successful:False Number of Steps:500
Episode:20 Score:-3299.094705499331 Successful:False Number of Steps:500
Episode:21 Score:-2536.0313318810145 Successful:False Number of Steps:500
Episode:22 Score:-4611.760728690968 Successful:False Number of Steps:500
Episode:23 Score:-2785.6775868702607 Successful:False Number of Steps:500
Episode:24 Score:98430.33444127641 Successful:True Number of Steps:194
Episode:25 Score:-3738.1047905892437 Successful:False Number of Steps:500
Episode:26 Score:-3972.163446592422 Successful:False Number of Steps:500
Episode:27 Score:-4404.250321866534 Successful:False Number of Steps:500
Episode:28 Score:-3312.0336781203036 Successful:False Number of Steps:500
Episode:29 Score:-3667.5865608205727 Successful:False Number of Steps:500
Episode:30 Score:-3554.0609673083964 Successful:False Number of Steps:500
number successful: 4
RESULTS FOR STARTING POSITION: (11,26)
Episode:1 Score:-3214.6991721274153 Successful:False Number of Steps:500
Episode:2 Score:-3369.5011606630324 Successful:False Number of Steps:500
Episode:3 Score:-3520.976356376288 Successful:False Number of Steps:500
Episode:4 Score:-3793.539868825561 Successful:False Number of Steps:500
Episode:5 Score:-2842.1237451712987 Successful:False Number of Steps:500
Episode:6 Score:-4351.96790995271 Successful:False Number of Steps:500
Episode:7 Score:-3680.1653081123422 Successful:False Number of Steps:500
Episode:8 Score:-2870.5052826541055 Successful:False Number of Steps:500
Episode:9 Score:-2649.6203673635337 Successful:False Number of Steps:500
Episode:10 Score:-3813.757782339275 Successful:False Number of Steps:500
Episode:11 Score:-3259.0645289945996 Successful:False Number of Steps:500
Episode:12 Score:-4170.267946055862 Successful:False Number of Steps:500
Episode:13 Score:-3215.2488169747917 Successful:False Number of Steps:500
Episode:14 Score:-2884.28640049367 Successful:False Number of Steps:500
Episode:15 Score:-2868.881856735602 Successful:False Number of Steps:500
Episode:16 Score:-4334.397638771983 Successful:False Number of Steps:500
Episode:17 Score:-2554.6521301456523 Successful:False Number of Steps:500
Episode:18 Score:-3933.0507343868862 Successful:False Number of Steps:500
Episode:19 Score:-2665.637792082871 Successful:False Number of Steps:500
Episode:20 Score:-3897.1836953308994 Successful:False Number of Steps:500
Episode:21 Score:-2506.625347772733 Successful:False Number of Steps:500
