Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): tTravisPositive
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): travis code but make hyperparameter positive
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): A2C
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:3 Score:-10837.356306374728 Successful:False Number of Steps:500
Episode:4 Score:93087.02996451422 Successful:True Number of Steps:286
Episode:5 Score:-9644.693640923404 Successful:False Number of Steps:500
Episode:6 Score:-9376.627153907011 Successful:False Number of Steps:500
Episode:7 Score:-7551.993089335056 Successful:False Number of Steps:500
Episode:8 Score:-9373.840735041478 Successful:False Number of Steps:500
Episode:9 Score:95925.24438439701 Successful:True Number of Steps:185
Episode:10 Score:-15481.162287409083 Successful:False Number of Steps:500
Episode:11 Score:-6830.711376095848 Successful:False Number of Steps:500
Episode:12 Score:-12680.005210065025 Successful:False Number of Steps:500
Episode:13 Score:-9355.450507314661 Successful:False Number of Steps:500
Episode:14 Score:-13808.297209500399 Successful:False Number of Steps:500
Episode:15 Score:-11448.718455387854 Successful:False Number of Steps:500
Episode:16 Score:-10661.59733519097 Successful:False Number of Steps:500
Episode:17 Score:89144.94734301139 Successful:True Number of Steps:430
Episode:18 Score:93814.85545502552 Successful:True Number of Steps:220
Episode:19 Score:90668.5250754038 Successful:True Number of Steps:408
Episode:20 Score:90265.44105594755 Successful:True Number of Steps:406
Episode:21 Score:-9396.024188780164 Successful:False Number of Steps:500
Episode:22 Score:-8881.179533782257 Successful:False Number of Steps:500
Episode:23 Score:-11387.470281320793 Successful:False Number of Steps:500
Episode:24 Score:-10387.879224618855 Successful:False Number of Steps:500
Episode:25 Score:-10623.939010087208 Successful:False Number of Steps:500
Episode:26 Score:-8350.246713833261 Successful:False Number of Steps:500
Episode:27 Score:93887.03885530749 Successful:True Number of Steps:178
Episode:28 Score:-9393.177797238854 Successful:False Number of Steps:500
Episode:29 Score:-11144.889166094536 Successful:False Number of Steps:500
Episode:30 Score:-7844.171376386825 Successful:False Number of Steps:500
number successful: 7
RESULTS FOR STARTING POSITION: (29,19)
Episode:1 Score:-12314.308032385185 Successful:False Number of Steps:500
Episode:2 Score:-15702.176473708168 Successful:False Number of Steps:500
Episode:3 Score:-14344.487548531515 Successful:False Number of Steps:500
Episode:4 Score:-9565.521713966953 Successful:False Number of Steps:500
Episode:5 Score:-15152.742367918483 Successful:False Number of Steps:500
Episode:6 Score:-14994.386044158324 Successful:False Number of Steps:500
Episode:7 Score:-11764.30194883393 Successful:False Number of Steps:500
Episode:8 Score:-14152.149887678599 Successful:False Number of Steps:500
Episode:9 Score:-13697.898237382802 Successful:False Number of Steps:500
Episode:10 Score:-13268.594608575448 Successful:False Number of Steps:500
Episode:11 Score:-16136.639289561313 Successful:False Number of Steps:500
Episode:12 Score:-10333.717658581503 Successful:False Number of Steps:500
Episode:13 Score:-13943.726747341647 Successful:False Number of Steps:500
Episode:14 Score:-12087.73284759217 Successful:False Number of Steps:500
Episode:15 Score:-16966.256853618943 Successful:False Number of Steps:500
Episode:16 Score:-13433.832779562827 Successful:False Number of Steps:500
Episode:17 Score:-13094.406644910528 Successful:False Number of Steps:500
Episode:18 Score:-14611.850320810669 Successful:False Number of Steps:500
Episode:19 Score:-16009.170273960633 Successful:False Number of Steps:500
Episode:20 Score:-15649.988455261015 Successful:False Number of Steps:500
Episode:21 Score:-15610.60405666818 Successful:False Number of Steps:500
Episode:22 Score:-16302.848844926843 Successful:False Number of Steps:500
Episode:23 Score:-13670.36052421839 Successful:False Number of Steps:500
Episode:24 Score:-13240.380933989221 Successful:False Number of Steps:500
Episode:25 Score:-14462.840734426647 Successful:False Number of Steps:500
Episode:26 Score:-15693.057021012937 Successful:False Number of Steps:500
Episode:27 Score:-18556.344383945325 Successful:False Number of Steps:500
Episode:28 Score:-13953.761823938381 Successful:False Number of Steps:500
Episode:29 Score:-12257.928003308394 Successful:False Number of Steps:500
Episode:30 Score:-13428.986792310507 Successful:False Number of Steps:500
number successful: 0
RESULTS FOR STARTING POSITION: (16,17)
Episode:1 Score:-13668.529726948942 Successful:False Number of Steps:500
Episode:2 Score:-16884.576578706197 Successful:False Number of Steps:500
Episode:3 Score:-13872.945756607473 Successful:False Number of Steps:500
Episode:4 Score:-18303.031930473597 Successful:False Number of Steps:500
Episode:5 Score:-15199.60625298907 Successful:False Number of Steps:500
Episode:6 Score:-21467.762449267284 Successful:False Number of Steps:500
Episode:7 Score:-19736.95433685027 Successful:False Number of Steps:500
Episode:8 Score:-9601.738556427976 Successful:False Number of Steps:500
Episode:9 Score:-12628.506748040487 Successful:False Number of Steps:500
Episode:10 Score:-22626.632969711547 Successful:False Number of Steps:500
Episode:11 Score:-17398.905229396245 Successful:False Number of Steps:500
Episode:12 Score:-15969.298485103678 Successful:False Number of Steps:500
Episode:13 Score:-16782.75638839901 Successful:False Number of Steps:500
Episode:14 Score:-18431.200947839905 Successful:False Number of Steps:500
Episode:15 Score:-20261.181778727787 Successful:False Number of Steps:500
Episode:16 Score:-11102.20527841829 Successful:False Number of Steps:500
Episode:17 Score:-13156.980229168748 Successful:False Number of Steps:500
Episode:18 Score:-17647.921669740022 Successful:False Number of Steps:500
Episode:19 Score:-14748.568418530636 Successful:False Number of Steps:500
Episode:20 Score:-10072.9118414063 Successful:False Number of Steps:500
Episode:21 Score:-22299.242795752354 Successful:False Number of Steps:500
Episode:22 Score:-10316.465969754321 Successful:False Number of Steps:500
