Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): 
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): 
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): 
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:2 Score:-2654.0533767735383 Successful:False Number of Steps:500
Episode:3 Score:-2353.810103486111 Successful:False Number of Steps:500
Episode:4 Score:-4775.23445251353 Successful:False Number of Steps:500
Episode:5 Score:-2460.604105176177 Successful:False Number of Steps:500
Episode:6 Score:-2614.41545607626 Successful:False Number of Steps:500
Episode:7 Score:-4216.029857533866 Successful:False Number of Steps:500
Episode:8 Score:-2437.354490526768 Successful:False Number of Steps:500
Episode:9 Score:-2890.056339947411 Successful:False Number of Steps:500
Episode:10 Score:-3292.940335329393 Successful:False Number of Steps:500
Episode:11 Score:-2564.2773334627327 Successful:False Number of Steps:500
Episode:12 Score:-3650.8529762149356 Successful:False Number of Steps:500
Episode:13 Score:-3367.6609877784713 Successful:False Number of Steps:500
Episode:14 Score:-3625.045232838918 Successful:False Number of Steps:500
Episode:15 Score:-4114.4763662324485 Successful:False Number of Steps:500
Episode:16 Score:-3439.320915132718 Successful:False Number of Steps:500
Episode:17 Score:-3168.224133676853 Successful:False Number of Steps:500
Episode:18 Score:-3401.84003177758 Successful:False Number of Steps:500
Episode:19 Score:-2963.3594444419514 Successful:False Number of Steps:500
Episode:20 Score:-4196.230622064302 Successful:False Number of Steps:500
Episode:21 Score:-2831.7115236624995 Successful:False Number of Steps:500
Episode:22 Score:-2377.4925537784684 Successful:False Number of Steps:500
Episode:23 Score:-3685.988649100766 Successful:False Number of Steps:500
Episode:24 Score:-3851.8531546931163 Successful:False Number of Steps:500
Episode:25 Score:-2562.2396797577 Successful:False Number of Steps:500
Episode:26 Score:97986.74001862052 Successful:True Number of Steps:344
Episode:27 Score:-4061.0786366247607 Successful:False Number of Steps:500
Episode:28 Score:-2486.9149068600645 Successful:False Number of Steps:500
Episode:29 Score:-3542.4739276436226 Successful:False Number of Steps:500
Episode:30 Score:-2820.399326448483 Successful:False Number of Steps:500
number successful: 1
RESULTS FOR STARTING POSITION: (31,0)
Episode:1 Score:100000 Successful:True Number of Steps:1
Episode:2 Score:100000 Successful:True Number of Steps:1
Episode:3 Score:100000 Successful:True Number of Steps:1
Episode:4 Score:100000 Successful:True Number of Steps:1
Episode:5 Score:100000 Successful:True Number of Steps:1
Episode:6 Score:100000 Successful:True Number of Steps:1
Episode:7 Score:100000 Successful:True Number of Steps:1
Episode:8 Score:100000 Successful:True Number of Steps:1
Episode:9 Score:100000 Successful:True Number of Steps:1
Episode:10 Score:100000 Successful:True Number of Steps:1
Episode:11 Score:100000 Successful:True Number of Steps:1
Episode:12 Score:100000 Successful:True Number of Steps:1
Episode:13 Score:100000 Successful:True Number of Steps:1
Episode:14 Score:100000 Successful:True Number of Steps:1
Episode:15 Score:100000 Successful:True Number of Steps:1
Episode:16 Score:100000 Successful:True Number of Steps:1
Episode:17 Score:100000 Successful:True Number of Steps:1
Episode:18 Score:100000 Successful:True Number of Steps:1
Episode:19 Score:100000 Successful:True Number of Steps:1
Episode:20 Score:100000 Successful:True Number of Steps:1
Episode:21 Score:100000 Successful:True Number of Steps:1
Episode:22 Score:100000 Successful:True Number of Steps:1
Episode:23 Score:100000 Successful:True Number of Steps:1
Episode:24 Score:100000 Successful:True Number of Steps:1
Episode:25 Score:100000 Successful:True Number of Steps:1
Episode:26 Score:100000 Successful:True Number of Steps:1
Episode:27 Score:99938.13971971064 Successful:True Number of Steps:3
Episode:28 Score:100000 Successful:True Number of Steps:1
Episode:29 Score:100000 Successful:True Number of Steps:1
Episode:30 Score:100000 Successful:True Number of Steps:1
number successful: 30
