Choose a name for this experiment (e.g. Min Dist to Goal And Obstacle): travis
--------------------------------
description of environment (describe what you changed in the code and why you think it might work): travis
--------------------------------
Reinforcement learning algorithm you are using (e.g. PPO, A2C): A2C
--------------------------------
Experiment was ran with 10 iterations
--------------------------------
number of timesteps for training: 1000000
--------------------------------
Episode:5 Score:112287.72474801603 Successful:False Number of Steps:500
Episode:6 Score:101728.81538228065 Successful:True Number of Steps:8
Episode:7 Score:107582.50457832174 Successful:True Number of Steps:32
Episode:8 Score:117802.92744405408 Successful:True Number of Steps:76
Episode:9 Score:107997.01137463839 Successful:False Number of Steps:500
Episode:10 Score:112876.05415124379 Successful:False Number of Steps:500
Episode:11 Score:111466.62629522597 Successful:False Number of Steps:500
Episode:12 Score:109240.11909306012 Successful:False Number of Steps:500
Episode:13 Score:109099.3062058525 Successful:False Number of Steps:500
Episode:14 Score:110378.52866035562 Successful:False Number of Steps:500
Episode:15 Score:110041.6121038097 Successful:False Number of Steps:500
Episode:16 Score:108160.10408959485 Successful:False Number of Steps:500
Episode:17 Score:113859.40059436098 Successful:False Number of Steps:500
Episode:18 Score:104243.71965573805 Successful:True Number of Steps:18
Episode:19 Score:110682.01333020092 Successful:False Number of Steps:500
Episode:20 Score:111937.943610344 Successful:False Number of Steps:500
Episode:21 Score:110290.76606446768 Successful:False Number of Steps:500
Episode:22 Score:112668.26376831163 Successful:False Number of Steps:500
Episode:23 Score:108231.8784319609 Successful:False Number of Steps:500
Episode:24 Score:107909.78728707267 Successful:False Number of Steps:500
Episode:25 Score:112555.27210326729 Successful:False Number of Steps:500
Episode:26 Score:112950.33078039237 Successful:False Number of Steps:500
Episode:27 Score:111472.03142393513 Successful:False Number of Steps:500
Episode:28 Score:108751.61878511244 Successful:False Number of Steps:500
Episode:29 Score:112935.79348637525 Successful:False Number of Steps:500
Episode:30 Score:107368.29173741069 Successful:False Number of Steps:500
number successful: 5
RESULTS FOR STARTING POSITION: (29,3)
Episode:1 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:2 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:3 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:4 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:5 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:6 Score:101523.09695147527 Successful:True Number of Steps:8
Episode:7 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:8 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:9 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:10 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:11 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:12 Score:101098.64200769327 Successful:True Number of Steps:6
Episode:13 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:14 Score:101092.89081796518 Successful:True Number of Steps:6
Episode:15 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:16 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:17 Score:101067.95852691519 Successful:True Number of Steps:6
Episode:18 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:19 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:20 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:21 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:22 Score:101079.91844473558 Successful:True Number of Steps:6
Episode:23 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:24 Score:101541.77273586643 Successful:True Number of Steps:8
Episode:25 Score:100650.17926095119 Successful:True Number of Steps:4
Episode:26 Score:100650.17926095119 Successful:True Number of Steps:4
